"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","TitleHasKeyword","AvgCommentRelevancy","TitleRelevancy","ThreadRelevancyScore"
"NG02_TH00618","netmotss","NG02","TH00618","Homosexuality and the bible","https://groups.google.com./g/net.motss/c/MfWZuLLNtX4",1985-02-11,4,FALSE,17,0,17
"NG02_TH00561","netmotss","NG02","TH00561","Ronald Reagan's Homophobic Career: VI","https://groups.google.com./g/net.motss/c/UVRzYQIH-sU",1984-12-21,3,FALSE,22.5,0,22.5
"NG02_TH00547","netmotss","NG02","TH00547","Statistics on San Francisco homosexuals","https://groups.google.com./g/net.motss/c/BzROAuedoYw",1984-12-11,3,FALSE,15.6666666666667,0,15.6666666666667
"NG02_TH00496","netmotss","NG02","TH00496","Ronald Reagan's homophobic career: V","https://groups.google.com./g/net.motss/c/kfKdT83dZUs",1984-11-06,2,FALSE,15,0,15
"NG02_TH00492","netmotss","NG02","TH00492","Ronald Reagan's Homophobic Career: VII","https://groups.google.com./g/net.motss/c/-SGgmm7cFc8",1984-11-05,1,FALSE,15,0,15
"NG02_TH00452","netmotss","NG02","TH00452","Form and Substance","https://groups.google.com./g/net.motss/c/AVJqUjGjk4s",1984-10-12,4,FALSE,16,0,16
"NG02_TH00414","netmotss","NG02","TH00414","Boswell shows ""The bible says it's so""","https://groups.google.com./g/net.motss/c/OCJh9jcQq-M",1984-09-28,1,FALSE,12,0,12
"NG02_TH00411","netmotss","NG02","TH00411","Misconceptions & Re: Gay Rights","https://groups.google.com./g/net.motss/c/7KNGTO8EdWk",1984-09-28,1,FALSE,18,0,18
"NG02_TH00357","netmotss","NG02","TH00357","Serpent in Paradise","https://groups.google.com./g/net.motss/c/fx91yGF5YjY",1984-08-24,7,FALSE,13,0,13
"NG02_TH00232","netmotss","NG02","TH00232","publish & panic","https://groups.google.com./g/net.motss/c/0FM1onCTUlU",1984-06-14,3,FALSE,12.3333333333333,0,12.3333333333333
"NG02_TH00212","netmotss","NG02","TH00212","John Boswell talks about Gay Christian History: Part2","https://groups.google.com./g/net.motss/c/-MhS-v49Skg",1984-05-25,1,FALSE,12,0,12
"NG04_TH04025","netpolitics","NG04","TH04025","""Russia: Love It Or Leave It""","https://groups.google.com./g/net.politics/c/F_Jgp5GZ1Gc",1986-03-27,75,FALSE,11.6666666666667,0,11.6666666666667
"NG04_TH03700","netpolitics","NG04","TH03700","Equality through Reaganomics ?","https://groups.google.com./g/net.politics/c/FUCsBLFF3gs",1985-12-08,25,FALSE,14.5,0,14.5
"NG04_TH03310","netpolitics","NG04","TH03310","Seat Belts","https://groups.google.com./g/net.politics/c/3IzYISzwh2M",1985-08-05,22,FALSE,12,0,12
"NG05_TH02958","netreligion","NG05","TH02958","Auto-dialing Falwell","https://groups.google.com./g/net.religion/c/Ud3pZ3Vpssw",1986-01-29,6,FALSE,13,0,13
"NG01_TH01411","netmed","NG01","TH01411","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE",1986-09-11,1,TRUE,10,10,10
"NG01_TH01352","netmed","NG01","TH01352","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12,TRUE,10.8333333333333,10,10
"NG01_TH01259","netmed","NG01","TH01259","AIDS budget cut proposal","https://groups.google.com./g/net.med/c/vTrrcpv0RUA",1986-02-06,1,TRUE,10,10,10
"NG01_TH01230","netmed","NG01","TH01230","AIDS Incidence in perspective","https://groups.google.com./g/net.med/c/1ARcUmBKZ10",1986-01-28,1,TRUE,11,10,10
"NG01_TH01164","netmed","NG01","TH01164","On meeting someone with AIDS","https://groups.google.com./g/net.med/c/mjsT7OncThg",1986-01-03,1,TRUE,14,10,10
"NG01_TH01157","netmed","NG01","TH01157","AIDS Research - Antiviral Drugs (Query)?","https://groups.google.com./g/net.med/c/zTIyZZtv2fA",1985-12-23,7,TRUE,19.8571428571429,10,10
"NG01_TH01115","netmed","NG01","TH01115","Answer to AIDS questions","https://groups.google.com./g/net.med/c/5cgl9ZU_E2g",1985-12-03,6,TRUE,16.6,10,10
"NG01_TH01079","netmed","NG01","TH01079","AIDS in Africa: a newspaper editorial","https://groups.google.com./g/net.med/c/GSscEgGnBcA",1985-11-16,2,TRUE,32,10,10
"NG01_TH01071","netmed","NG01","TH01071","Scary thought about AIDS","https://groups.google.com./g/net.med/c/RjaQzfsldbQ",1985-11-12,5,TRUE,14.4,10,10
"NG01_TH01028","netmed","NG01","TH01028","AIDS: beyond high-risk groups","https://groups.google.com./g/net.med/c/0giK_GQ_-XY",1985-10-21,19,TRUE,14.2631578947368,10,10
"NG01_TH01015","netmed","NG01","TH01015","Update on AIDS and Health Care Workers.","https://groups.google.com./g/net.med/c/Z4GcqGYKPfY",1985-10-16,2,TRUE,15,10,10
"NG01_TH01001","netmed","NG01","TH01001","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.med/c/NB_zOSZvP_E",1985-10-03,16,TRUE,19.75,10,10
"NG01_TH00942","netmed","NG01","TH00942","Personal Revelation about AIDS","https://groups.google.com./g/net.med/c/fjV21T5IOmg",1985-09-06,1,TRUE,14,10,10
"NG01_TH00875","netmed","NG01","TH00875","AIDS Transmission (Addendum)","https://groups.google.com./g/net.med/c/mOyXcZB48N8",1985-08-20,7,TRUE,10.75,10,10
"NG01_TH00872","netmed","NG01","TH00872","Proof that AIDS can be transmitted by Semen","https://groups.google.com./g/net.med/c/82jkWkwWkyk",1985-08-20,1,TRUE,17,10,10
"NG01_TH00865","netmed","NG01","TH00865","AIDS PREVENTABLE #2","https://groups.google.com./g/net.med/c/JvcFERwNcvU",1985-08-16,2,TRUE,13,10,10
"NG01_TH00841","netmed","NG01","TH00841","AIDS IS PREVENTABLE","https://groups.google.com./g/net.med/c/xW4EgHYHk74",1985-08-11,5,TRUE,13.4,10,10
"NG01_TH00833","netmed","NG01","TH00833","Bermuda Cancer (?) Clinic and AIDS","https://groups.google.com./g/net.med/c/M1rIC9IoLDg",1985-08-08,1,TRUE,18,10,10
"NG01_TH00828","netmed","NG01","TH00828","AIDS in the news","https://groups.google.com./g/net.med/c/w2qGlAxh-X0",1985-08-08,2,TRUE,10,10,10
"NG01_TH00823","netmed","NG01","TH00823","Poll reports fear of AIDS growing in US","https://groups.google.com./g/net.med/c/KbsYoEHnaFc",1985-08-05,1,TRUE,17,10,10
"NG01_TH00785","netmed","NG01","TH00785","How AIDS virus foils immune system: new finding","https://groups.google.com./g/net.med/c/eO-cfvySmg4",1985-07-16,1,TRUE,46,10,10
"NG01_TH00773","netmed","NG01","TH00773","The Age of AIDS","https://groups.google.com./g/net.med/c/iNn_68vSslQ",1985-07-07,6,TRUE,22,10,10
"NG01_TH00744","netmed","NG01","TH00744","HLA-DR antibodies cause positive HTLV-3 test results.","https://groups.google.com./g/net.med/c/AbEsyZIkbz8",1985-06-11,2,TRUE,23.5,10,10
"NG01_TH00729","netmed","NG01","TH00729","Anti-AIDS drugs promising.","https://groups.google.com./g/net.med/c/MzPyTU4bavw",1985-05-28,1,TRUE,34,10,10
"NG01_TH00656","netmed","NG01","TH00656","2nd AIDS test approved","https://groups.google.com./g/net.med/c/0M-_CBUZnkI",1985-03-17,2,TRUE,26,10,10
"NG01_TH00606","netmed","NG01","TH00606","Drug kills alleged AIDS virus in bloodstream","https://groups.google.com./g/net.med/c/6ZGvu0prxk0",1985-02-08,1,TRUE,29,10,10
"NG01_TH00591","netmed","NG01","TH00591","A Lay question about AIDS?","https://groups.google.com./g/net.med/c/w7JFdB38ZDg",1985-01-29,6,TRUE,17.1666666666667,10,10
"NG01_TH00582","netmed","NG01","TH00582","AIDS 4: Epidemiology of AIDS (long, with data)","https://groups.google.com./g/net.med/c/0JFoaDkddfI",1985-01-15,1,TRUE,46,10,10
"NG01_TH00575","netmed","NG01","TH00575","Test for exposure to AIDS","https://groups.google.com./g/net.med/c/G0h9guZRBWs",1985-01-08,4,TRUE,37.5,10,10
"NG01_TH00573","netmed","NG01","TH00573","AIDS Receptor on White Cells","https://groups.google.com./g/net.med/c/xl3ebIaKFRQ",1985-01-02,1,TRUE,25,10,10
"NG02_TH01054","netmotss","NG02","TH01054","HTLV-III antibody test","https://groups.google.com./g/net.motss/c/5bi9aorha90",1986-03-19,4,TRUE,16.3333333333333,10,10
"NG02_TH01002","netmotss","NG02","TH01002","AIDS virus in prison evaporates basic rights","https://groups.google.com./g/net.motss/c/7l7-IDIk9fI",1986-02-13,6,TRUE,19,10,10
"NG02_TH00835","netmotss","NG02","TH00835","Personal Revelation about AIDS","https://groups.google.com./g/net.motss/c/fjV21T5IOmg",1985-09-08,3,TRUE,27,10,10
"NG02_TH00827","netmotss","NG02","TH00827","Journalistic AIDS","https://groups.google.com./g/net.motss/c/dMQU5oE_bfk",1985-08-31,1,TRUE,13,10,10
"NG02_TH00820","netmotss","NG02","TH00820","Lord Avon a victim of AIDS","https://groups.google.com./g/net.motss/c/vDdXmrA8kcg",1985-08-28,1,TRUE,10,10,10
"NG02_TH00728","netmotss","NG02","TH00728","Pentagon: Donors with HTLV-3 antibodies won't be disciplined","https://groups.google.com./g/net.motss/c/eI412PRUYQY",1985-06-13,1,TRUE,19,10,10
"NG02_TH00612","netmotss","NG02","TH00612","Drug kills alleged AIDS virus in bloodstream","https://groups.google.com./g/net.motss/c/LE7sZT5ALHk",1985-02-08,1,TRUE,29,10,10
"NG02_TH00609","netmotss","NG02","TH00609","AnFirst step towards an AIDS vaccine","https://groups.google.com./g/net.motss/c/lHC1FRzMpeA",1985-02-05,1,TRUE,35,10,10
"NG02_TH00597","netmotss","NG02","TH00597","AIDS/future attitudes","https://groups.google.com./g/net.motss/c/LInJBgsSzhU",1985-01-28,3,TRUE,21,10,10
"NG02_TH00578","netmotss","NG02","TH00578","AIDS: Reply from Craig Werner","https://groups.google.com./g/net.motss/c/Ka2d_rpqudE",1985-01-08,1,TRUE,29,10,10
"NG02_TH00556","netmotss","NG02","TH00556","Latest in AIDS research","https://groups.google.com./g/net.motss/c/jB7rzOz6R3Q",1984-12-14,1,TRUE,43,10,10
"NG02_TH00220","netmotss","NG02","TH00220","Homophobia & science: AIDS in the medical journals","https://groups.google.com./g/net.motss/c/MfRUZnSJqiU",1984-06-07,1,TRUE,14,10,10
"NG02_TH00126","netmotss","NG02","TH00126","Anal sex tied to AIDS - journal of the AMA","https://groups.google.com./g/net.motss/c/8uPRq4T7RRs",1984-01-25,3,TRUE,26,10,10
